Noticia 1 -> [('Vido', 0), ('trabajadores', 0), ('Carrio', 0), ('Macri', -4.199999999999999), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 2 -> [('Vido', 0), ('trabajadores', -8.0), ('Carrio', 0), ('Macri', 0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 3 -> [('Vido', -1.7999999999999998), ('trabajadores', 0), ('Carrio', 0), ('Macri', 0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 4 -> [('Vido', 0), ('trabajadores', 0), ('Carrio', 0), ('Macri', 0.0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 5 -> [('Vido', 0), ('trabajadores', 0), ('Carrio', 0), ('Macri', 0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', -10.499999999999998), ('Boudou', 0), ('Cristina', -1.4)]
Noticia 6 -> [('Vido', 0), ('trabajadores', -5.999999999999999), ('Carrio', 0), ('Macri', -0.19999999999999996), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 7 -> [('Vido', 0), ('trabajadores', 0.5), ('Carrio', 0), ('Macri', 1.0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 8 -> [('Vido', 0), ('trabajadores', 0.0), ('Carrio', 0), ('Macri', 0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 9 -> [('Vido', 0), ('trabajadores', 0), ('Carrio', 0), ('Macri', 0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 10 -> [('Vido', 0), ('trabajadores', 0), ('Carrio', 0), ('Macri', -2.3999999999999986), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 11 -> [('Vido', 0), ('trabajadores', 0), ('Carrio', 0), ('Macri', 0.0), ('Massa', 0), ('Kirchner', 0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0)]
Noticia 12 -> [('Vido', 0), ('trabajadores', 1.0), ('Carrio', 0), ('Macri', 0.3000000000000007), ('Massa', 0.0), ('Kirchner', 0.0), ('fueros', 0), ('Randazzo', 0), ('Boudou', 0), ('Cristina', 0.0)]
